name;gender;Great Britain;Ireland;U.S.A.;Italy;Malta;Portugal;Spain;France;Belgium;Luxembourg;the Netherlands;East Frisia;Germany;Austria;Swiss;Iceland;Denmark;Norway;Sweden;Finland;Estonia;Latvia;Lithuania;Poland;Czech Republic;Slovakia;Hungary;Romania;Bulgaria;Bosnia and Herzegovina;Croatia;Kosovo;Macedonia;Montenegro;Serbia;Slovenia;Albania;Greece;Russia;Belarus;Moldova;Ukraine;Armenia;Azerbaijan;Georgia;Kazakhstan/Uzbekistan,etc.;Turkey;Arabia/Persia;Israel;China;India/Sri Lanka;Japan;Korea;Vietnam;other countries
Annamaria;F;;;;-3;;;;;;;;;;;-6;;;;;;;;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anne;F;-1;-1;-4;;-2;;;-1;;0;;-3;-3;-6;-2;;0;0;-1;-1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annest;F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annette;F;-4;-5;-4;;-7;;;-5;-5;-3;-3;-3;-2;-6;-4;;-1;-6;-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annie;F;-2;;-4;;-6;;;-2;-2;-5;-2;-8;-8;-8;-6;;-3;-4;-5;;;;;;;;;;;;;;;;;;;;;;;;-4;;;;;;;;;;;;
Annot;F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annwyl;F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anona;F;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ansel;M;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anson;M;-8;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anthea;F;-7;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8;;;;
Anthony;M;-1;-2;-2;;1;;;-3;-5;-6;;;;;-6;;;-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-6;;;;
Antoni;M;;;;;;;-6;;;;;-7;;;-8;;;;;;;;-8;-5;;;;;-7;-7;;;-6;;;;;;;;;;;;;;;;;;;;;;
Antonina;F;;;;-4;;;-7;;;;;;;;-8;;;;;;-7;;;-5;;;;;-5;;;;;;;;;;-4;-5;-6;-4;;-5;;-5;;;;;;;;;
Antony;M;-4;;;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4;;;;
Anya;F;-8;;-8;;;;;;;;-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5;;;;;;;;;;;;;;;
